Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,
S00042,Timothy Russell,03-02-2010,Grade 3,(714)571-0022x0344,
S00043,Amanda Davis,17-01-2008,Grade 2,,
S00044,Vicki Whitaker,16-10-2013,Grade 1,542.861.3947,
S00045,Melanie Martinez,07-03-2011,Grade 5,(733)606-6480,
S00046,Michael Pennington,08-03-2012,Grade 1,+1-557-976-2931x631,
S00047,deborah robinson,19-07-2012,Grade 1,644-521-8876,
S00048,Jonathon Ortiz,06-27-2016,Grade 2,3838713344,
S00049,david soto,06-05-2015,Grade 2,890.344.3191x4523,
S00050,Alex Evans,05-10-2006,Grade 2,(320)202-0791x71781,
S00051,Jesse Hayes,16-02-2015,Grade 5,001-488-514-9535x46355,
S00052,Robert Fox,16-02-2009,Grade 4,810.814.1294x88853,
S00053,Brian Meyer,08-25-2010,Grade 4,+1-391-973-1573x4962,
S00054,Thomas Morales,30-09-2017,Grade 2,(901)568-5838,
S00055,Susan Miller,18-07-2012,Grade 4,627.294.0839x30853,
S00056,Victoria Lewis,08-25-2006,Grade 3,,
S00057,Robert Foster,02-07-2012,Grade 5,9737272308,
S00058,Steven Donovan,06-06-2017,Grade 5,001-309-741-6530x084,
S00059,Kiara Meadows,03-02-2008,Grade 2,526.873.3321,
S00060,Shawn Carroll,27-08-2007,Grade 3,+1-284-997-6975x318,
S00061,kent davenport,05-08-2012,Grade 4,001-974-818-4092,
S00062,Jason Clark,22-07-2018,Grade 3,,
S00063,jason marquez,01-08-2016,Grade 2,672-207-7384,
S00064,Danielle Curtis,12-04-2012,Grade 3,+1-937-502-0746x53513,
S00065,Laura Stanley,13-12-2015,Grade 2,840.935.3883,
S00066,Wyatt Nelson,10-01-2010,Grade 5,(938)496-2179x2337,
S00067,Philip Hill,02-02-2015,Grade 1,001-265-765-8985x04502,
S00068,Robert Clark,09-09-2017,Grade 3,646.995.0750,
S00069,william ford,11-03-2011,Grade 5,677-294-1469x96297,
S00070,Martin Bennett MD,02-01-2010,Grade 1,447-214-4052,
S00071,Madison Ellis,16-06-2012,Grade 4,929-669-3154,
S00072,Dean Cook,04-11-2014,Grade 4,001-758-844-1898,
S00073,Christopher Salinas,04-01-2011,Grade 5,+1-345-573-1319x25182,
S00074,Mr. Mark Erickson,14-03-2017,Grade 4,(830)226-4434x860,
S00075,Jasmine Allen,12-10-2017,Grade 1,2018302268,
S00076,robert martin,28-06-2013,Grade 1,583-732-3507,
S00077,Amanda Perry,03-22-2009,Grade 2,661-265-1096,
S00078,Brian Sims,11-02-2012,Grade 3,-3269,
S00079,Krista Martinez,03-05-2008,Grade 2,281.813.2086x65169,
S00080,Aaron Baldwin,26-04-2013,Grade 4,805-939-0145,
S00081,John Underwood,01-05-2013,Grade 1,-5965,
S00082,Shawn Martin,12-10-2016,Grade 4,735-761-2346x7222,
S00083,Michael Harrison,21-07-2017,Grade 3,212-346-7556x883,
S00084,wanda eaton,14-09-2012,Grade 4,(920)333-9999x29113,
S00085,Taylor Juarez,07-06-2018,Grade 2,(823)791-7451x6613,
S00086,Michael Lee,03-24-2010,Grade 3,001-577-831-6105x317,
S00087,Beth Mendoza,18-01-2012,Grade 3,887.394.4200,
S00088,Michele James,08-08-2014,Grade 5,+1-642-207-7825x9469,
S00089,Noah Dougherty,02-06-2006,Grade 5,(859)255-3549x677,
S00090,David Downs,26-11-2011,Grade 2,001-922-813-4880,
S00091,Mary Williams,19-10-2014,Grade 3,(860)760-0220x9569,
S00092,Jason Parker,02-15-2011,Grade 3,5635730168,
S00093,robert stewart,30-06-2009,Grade 1,+1-477-789-7616x158,
S00094,paul ortega,15-02-2013,Grade 2,(999)431-7914,
S00095,George Williams,01-09-2008,Grade 2,+1-401-399-8240x5936,
S00096,Dawn Hall,21-05-2007,Grade 4,-6131,
S00097,Tyler Schroeder,25-03-2009,Grade 5,+1-314-761-8012x48970,
S00098,Courtney Taylor,03-06-2006,Grade 3,258-779-3223x424,
S00099,Jason George,04-06-2011,Grade 2,,
S00100,Anthony Villarreal,12-04-2016,Grade 3,(935)617-3478x6764,
S00101,William Mitchell,06-11-2008,Grade 5,749.923.7131x37550,
S00102,Stacey Ramos,11-06-2011,Grade 4,764.975.1451,
S00103,Jacqueline Richard,19-10-2010,Grade 5,-10572,
S00104,Allison Flores,06-10-2014,Grade 3,7568298027,
S00105,John Singleton,21-07-2008,Grade 3,559-603-6410,
S00106,Matthew Chandler,29-12-2006,Grade 1,(779)498-1573,
S00107,Brian Ferguson,13-01-2017,Grade 3,+1-259-851-3309x68675,
S00108,James Orozco,10-08-2012,Grade 5,774-779-6874x1712,
S00109,Sandy Lee,28-09-2017,Grade 1,+1-464-608-0980x749,
S00110,Scott Perez,19-04-2007,Grade 5,(948)628-8304x11021,
S00111,Dylan Jones,01-10-2009,Grade 1,813-751-1036,
S00112,Barbara Taylor,26-10-2015,Grade 5,,
S00113,Brandon Garcia,15-08-2006,Grade 2,+1-541-463-4530x74598,
S00114,Kathryn Wilson,02-08-2009,Grade 2,(302)366-6634,
S00115,Brian Lowe,29-10-2007,Grade 3,222.761.3749x29075,
S00116,Julie Schneider,12-07-2016,Grade 1,625.450.0857,
S00117,Julie Bush,26-07-2014,Grade 5,726.427.4243x66185,
S00118,Ellen Carter,31-05-2016,Grade 3,8367972128,
S00119,Kimberly Ryan,20-02-2007,Grade 1,,
S00120,Paul Ramos,25-09-2018,Grade 1,+1-453-850-8972x4586,
S00121,Benjamin Martin,27-03-2012,Grade 4,680.867.6297x1013,
S00122,kristine johnston,01-02-2014,Grade 4,+1-792-896-7675x900,
S00123,Elizabeth Morales,18-03-2018,Grade 2,(957)807-3322x9791,
S00124,Glenn Alexander,31-10-2015,Grade 5,749-446-5768x5902,
S00125,Charles Guerrero,04-25-2017,Grade 5,(866)688-9369,
S00126,Jeremy Rhodes,05-03-2011,Grade 3,716-750-8815,
S00127,Denise Evans,23-06-2010,Grade 3,649.801.9380,
S00128,Dr. Jamie Stewart,14-04-2007,Grade 3,+1-310-426-3533x5178,
S00129,Anthony White,30-01-2017,Grade 2,774-490-1258,
S00130,Eduardo Miranda,30-06-2012,Grade 1,990.638.5401x29299,
S00131,Gregory Schroeder,05-04-2013,Grade 3,,
S00132,Jeremiah Frank,30-11-2015,Grade 1,+1-446-493-5059x44155,
S00133,Kathy Jordan,09-06-2016,Grade 4,682.965.6945x6002,
S00134,Brett Knight,20-06-2018,Grade 4,972-273-5638,
S00135,Traci Johnson,28-07-2007,Grade 1,6562939872,
S00136,Mr. John Salas,18-04-2016,Grade 2,001-556-620-3226x8281,
S00137,Cory Garcia,12-09-2011,Grade 4,9676379410,
S00138,michael mccall,17-07-2017,Grade 2,653.629.8453,
S00139,Jeffrey Pace,17-04-2014,Grade 5,854.241.8982,
S00140,Joshua Smith,01-06-2007,Grade 3,001-741-649-2163x714,
S00141,mary mccullough dds,19-06-2006,Grade 5,001-716-752-5816x998,
S00142,Brian Phillips,04-10-2009,Grade 5,(874)461-7223x9991,
S00143,cynthia macdonald,12-06-2008,Grade 3,916-372-4695x15443,
S00144,Dylan Riddle,16-05-2016,Grade 5,+1-280-383-2852x122,
S00145,Bonnie Mitchell,12-05-2017,Grade 3,387-490-6820,
S00146,Kaylee Stewart,05-10-2009,Grade 1,774-946-3285x062,
S00147,Kimberly Williams,11-01-2009,Grade 2,6567747324,
S00148,travis moreno,13-05-2015,Grade 5,+1-568-423-9707x37227,
S00149,Nicholas Pope,06-08-2015,Grade 3,(831)807-6360,
S00150,William Griffin,09-06-2015,Grade 5,,
